match_number,match_type,url,title,status,scraped_at
1,Round Robin,https://recap.dartconnect.com/matches/688e66b6f4fc02e124e759c8,"mt_joe6163l_1 Match 1 - Cormier, Darrell vs Holden, Tom (Winners Knockout)",pending,
2,Round Robin,https://recap.dartconnect.com/matches/688e5201f4fc02e124e748b4,"mt_joe6163l_1 Match 2 - Cormier, Darrell vs Leblanc, Denis (Winners Knockout)",pending,
3,Round Robin,https://recap.dartconnect.com/matches/688e5934f4fc02e124e74edb,"mt_joe6163l_1 Match 3 - Holden, Tom vs Wallace, Cory (Winners Knockout)",pending,
4,Round Robin,https://recap.dartconnect.com/matches/688e3b1ff4fc02e124e737f4,"mt_joe6163l_1 Match 4 - Cormier, Darrell vs Leger, Michel (Winners Knockout)",pending,
5,Round Robin,https://recap.dartconnect.com/matches/688e3ba8f4fc02e124e7384a,"mt_joe6163l_1 Match 5 - Velasquez, Miguel vs Leblanc, Denis (Winners Knockout)",pending,
6,Round Robin,https://recap.dartconnect.com/matches/688e46a9f4fc02e124e73f15,"mt_joe6163l_1 Match 6 - Johnston, Gerry vs Holden, Tom (Winners Knockout)",pending,
7,Round Robin,https://recap.dartconnect.com/matches/688e4694f4fc02e124e73f0a,"mt_joe6163l_1 Match 7 - Rushton, Steve vs Wallace, Cory (Winners Knockout)",pending,
8,Round Robin,https://recap.dartconnect.com/matches/688e00ccf4fc02e124e7131c,"mt_joe6163l_1 Match 8 - Johnston, Gerry vs Rushton, Steve (Round Robin)",pending,
9,Round Robin,https://recap.dartconnect.com/matches/688e209bf4fc02e124e72676,"mt_joe6163l_1 Match 9 - Stewart, Tyler vs Velasquez, Miguel (Round Robin)",pending,
10,Round Robin,https://recap.dartconnect.com/matches/688e108ef4fc02e124e71c42,"mt_joe6163l_1 Match 10 - Cormier, Darrell vs Rushton, Steve (Round Robin)",pending,
11,Round Robin,https://recap.dartconnect.com/matches/688e0663f4fc02e124e71688,"mt_joe6163l_1 Match 11 - Johnston, Gerry vs Stewart, Tyler (Round Robin)",pending,
12,Round Robin,https://recap.dartconnect.com/matches/688e330ef4fc02e124e73284,"mt_joe6163l_1 Match 12 - Cormier, Darrell vs Velasquez, Miguel (Round Robin)",pending,
13,Round Robin,https://recap.dartconnect.com/matches/688e15abf4fc02e124e71f7c,"mt_joe6163l_1 Match 13 - Rushton, Steve vs Stewart, Tyler (Round Robin)",pending,
14,Round Robin,https://recap.dartconnect.com/matches/688e2818f4fc02e124e72bc0,"mt_joe6163l_1 Match 14 - Cormier, Darrell vs Stewart, Tyler (Round Robin)",pending,
15,Round Robin,https://recap.dartconnect.com/matches/688e1a9df4fc02e124e7228f,"mt_joe6163l_1 Match 15 - Velasquez, Miguel vs Johnston, Gerry (Round Robin)",pending,
16,Round Robin,https://recap.dartconnect.com/matches/688e2eb1f4fc02e124e72fb7,"mt_joe6163l_1 Match 16 - Cormier, Darrell vs Johnston, Gerry (Round Robin)",pending,
17,Round Robin,https://recap.dartconnect.com/matches/688e09b7f4fc02e124e7187f,"mt_joe6163l_1 Match 17 - Velasquez, Miguel vs Rushton, Steve (Round Robin)",pending,
18,Round Robin,https://recap.dartconnect.com/matches/688e1465f4fc02e124e71ea0,"mt_joe6163l_1 Match 18 - Leger, Michel vs Holden, Tom (Round Robin)",pending,
19,Round Robin,https://recap.dartconnect.com/matches/688e2aaef4fc02e124e72d6d,"mt_joe6163l_1 Match 19 - Wallace, Cory vs Leblanc, Denis (Round Robin)",pending,
20,Round Robin,https://recap.dartconnect.com/matches/688e0078f4fc02e124e712ee,"mt_joe6163l_1 Match 20 - Milliea, Royce vs Holden, Tom (Round Robin)",pending,
21,Knockout,https://recap.dartconnect.com/matches/688e3199f4fc02e124e7317b,"mt_joe6163l_1 Match 21 - Leger, Michel vs Wallace, Cory (Round Robin)",pending,
22,Knockout,https://recap.dartconnect.com/matches/688e0b7df4fc02e124e71981,"mt_joe6163l_1 Match 22 - Milliea, Royce vs Leblanc, Denis (Round Robin)",pending,
23,Knockout,https://recap.dartconnect.com/matches/688e2d89f4fc02e124e72f1f,"mt_joe6163l_1 Match 23 - Holden, Tom vs Wallace, Cory (Round Robin)",pending,
24,Knockout,https://recap.dartconnect.com/matches/688e1117f4fc02e124e71c9d,"mt_joe6163l_1 Match 24 - Milliea, Royce vs Wallace, Cory (Round Robin)",pending,
25,Knockout,https://recap.dartconnect.com/matches/688e2098f4fc02e124e72673,"mt_joe6163l_1 Match 25 - Leblanc, Denis vs Leger, Michel (Round Robin)",pending,
26,Knockout,https://recap.dartconnect.com/matches/688e1a2df4fc02e124e72254,"mt_joe6163l_1 Match 26 - Milliea, Royce vs Leger, Michel (Round Robin)",pending,
27,Knockout,https://recap.dartconnect.com/matches/688e0666f4fc02e124e7168c,"mt_joe6163l_1 Match 27 - Leblanc, Denis vs Holden, Tom (Round Robin)",pending,
